,county,avg_wind
0,WAYNE,2.846124429223725
1,COOK,3.754663242009135
2,MOULTRIE,3.1613641552511225
3,WHITE,2.733047945205467
4,TAZEWELL,3.2230593607306006
5,HAMILTON,2.7671175799086885
6,WHITESIDE,3.129514840182636
7,SHELBY,3.1578196347031677
8,SANGAMON,3.12797374429222
9,CUMBERLAND,3.0715981735159783
10,UNION,1.704452054794513
11,HARDIN,2.5052511415524883
12,PUTNAM,3.235507990867589
13,LEE,3.1777910958903943
14,RANDOLPH,1.859902968036556
15,CLINTON,2.890730593607324
16,MORGAN,3.0573801369862816
17,WILL,3.1974885844748915
18,CALHOUN,2.3959246575342403
19,MCLEAN,3.321158675799065
20,PERRY,2.548401826484025
21,POPE,1.8950399543379077
22,WINNEBAGO,3.1164668949771737
23,OGLE,3.1308047945205635
24,LOGAN,3.1655536529680304
25,CARROLL,3.1018036529680466
26,LAWRENCE,2.7953025114155152
27,PEORIA,3.2093835616438526
28,ROCK ISLAND,3.1557191780821996
29,EFFINGHAM,3.0096118721460803
30,CHAMPAIGN,3.2102568493150754
31,CRAWFORD,2.832168949771678
32,BOND,3.0236244292237355
33,SCHUYLER,3.076575342465769
34,MCDONOUGH,3.1176141552511574
35,LIVINGSTON,3.255587899543377
36,WOODFORD,3.24378995433789
37,JACKSON,2.3141952054794306
38,MERCER,3.1779737442922373
39,LASALLE,3.2001826484018507
40,STARK,3.2239668949771705
41,PIKE,2.9292979452054593
42,MACON,3.2282363013698707
43,DOUGLAS,3.181512557077645
44,PIATT,3.257916666666656
45,FULTON,3.155165525114158
46,COLES,3.1073630136986155
47,FORD,3.275159817351558
48,STEPHENSON,3.1014897260273955
49,RICHLAND,2.832049086757979
50,JEFFERSON,2.8676940639269373
51,EDGAR,3.0318207762557208
52,MCHENRY,3.262420091324192
53,MARSHALL,3.2443378995433654
54,WABASH,2.789628995433771
55,GALLATIN,2.6454851598173534
56,SCOTT,2.952785388127851
57,JO DAVIESS,3.0875399543378976
58,JASPER,2.9191095890411036
59,SALINE,2.4971175799086844
60,HENDERSON,3.1641952054794644
61,WILLIAMSON,2.143727168949785
62,VERMILION,3.1535216894976976
63,MENARD,3.1092066210045486
64,WARREN,3.1850799086757955
65,BOONE,3.1616152968036584
66,JERSEY,2.536398401826487
67,JOHNSON,1.867054794520552
68,MONTGOMERY,3.059326484018254
69,CASS,3.095405251141535
70,HENRY,3.1891723744292126
71,KENDALL,3.1979223744292073
72,MADISON,2.7743949771689427
73,LAKE,3.479531963470311
74,KNOX,3.217077625570765
75,FAYETTE,3.0143264840182287
76,DEKALB,3.1641267123287804
77,BROWN,3.0721289954337982
78,FRANKLIN,2.7542636986301354
79,MACOUPIN,2.939394977168948
80,PULASKI,2.1664041095890396
81,GREENE,2.9058675799086604
82,ADAMS,3.0736986301369584
83,KANE,3.239223744292247
84,EDWARDS,2.8015924657534113
85,DEWITT,3.2584931506849353
86,CLAY,2.9484189497716784
87,MASON,3.1417579908675743
88,MASSAC,2.1678538812785537
89,GRUNDY,3.211426940639282
90,ST. CLAIR,2.251621004566206
91,MONROE,1.9461015981735126
92,KANKAKEE,3.2335216894977235
93,BUREAU,3.1979052511415476
94,CHRISTIAN,3.1249714611872146
95,CLARK,2.9818436073059322
96,IROQUOIS,3.230702054794489
97,ALEXANDER,2.241130136986302
98,HANCOCK,3.1570776255707864
99,DUPAGE,3.3163299086758258
100,MARION,2.9283047945205265
101,WASHINGTON,2.878875570776278
