,county,avg_wind
0,MCHENRY,7.180582877959933
1,BOONE,6.650841871584702
2,OGLE,6.737572859744988
3,WILL,6.861721880692177
4,LASALLE,5.8629365892531675
5,BUREAU,6.449815004553702
6,HENRY,6.917134562841516
7,GRUNDY,6.481010359744997
8,MERCER,6.892544398907134
9,PUTNAM,6.397200591985407
10,MCLEAN,7.149676684881605
11,TAZEWELL,6.621088911657533
12,FULTON,6.619751821493634
13,ADAMS,7.101785063752326
14,CHAMPAIGN,6.741130464480909
15,LOGAN,6.650292008196687
16,PIATT,6.712839253187598
17,STARK,6.719976662113003
18,KNOX,6.524394353369777
19,MARSHALL,6.814908356102008
20,LIVINGSTON,6.894327755009133
21,HENDERSON,6.81606158925317
22,WARREN,7.105311930783226
23,IROQUOIS,6.61223360655735
24,PEORIA,6.524261725865214
25,WOODFORD,6.938420992714046
26,CARROLL,6.8070030737705
27,KANE,7.0427823315119005
28,DEKALB,6.933210951730446
29,COOK,5.940040414389754
30,ROCK ISLAND,6.249039162112969
31,KENDALL,6.686531762295074
32,KANKAKEE,6.498971994535521
33,FORD,6.987931466302398
34,MENARD,6.769138775045558
35,MASON,6.437810223132962
36,DEWITT,6.936006944444418
37,SCHUYLER,6.709976662112923
38,HANCOCK,6.965486111111099
39,BROWN,6.99201331967212
40,DOUGLAS,6.686329690346081
41,PIKE,7.2750375683060415
42,CASS,7.010339822404354
43,CUMBERLAND,6.6513615664845425
44,CALHOUN,6.723370901639349
45,CLAY,6.297462431693977
46,JERSEY,6.586843693078288
47,EFFINGHAM,6.5655561247722956
48,GREENE,6.571896630236778
49,CLINTON,6.512508538251391
50,WABASH,6.6759278233150905
51,EDWARDS,6.7293129553734
52,WASHINGTON,6.7810240209471555
53,RICHLAND,6.50489071038254
54,RANDOLPH,6.515845286885228
55,PERRY,6.194886725865194
56,FRANKLIN,6.477540983606553
57,JACKSON,6.213821721311462
58,SALINE,6.171364412568325
59,WHITE,6.424015824225871
60,PULASKI,6.424327185792334
61,ALEXANDER,6.274413137522754
62,DUPAGE,6.642616689435313
63,WHITESIDE,6.511823770491834
64,LEE,6.690979052823326
65,JO DAVIESS,6.193118169398898
66,STEPHENSON,6.563413023679439
67,WINNEBAGO,6.714001593806878
68,LAKE,6.953345856102016
69,GALLATIN,6.261900045537315
70,WILLIAMSON,6.301770833333337
71,JOHNSON,5.886215846994592
72,HAMILTON,6.379482581967197
73,HARDIN,6.353113046448083
74,MASSAC,6.161546561930791
75,MCDONOUGH,6.727274590163947
76,VERMILION,6.53819558287798
77,MACON,6.505250455373391
78,SANGAMON,6.746103711293266
79,EDGAR,6.953405623861558
80,MORGAN,6.820474157559183
81,CHRISTIAN,6.692453324225868
82,MOULTRIE,6.777492030965456
83,SCOTT,6.483710724043734
84,COLES,6.690397882513662
85,SHELBY,6.649319785974505
86,MONTGOMERY,6.710485541894374
87,MACOUPIN,6.666807263205848
88,CLARK,6.683934426229523
89,CRAWFORD,6.67959528688524
90,JASPER,6.465095059198485
91,BOND,6.480251024590107
92,MADISON,6.57365437158472
93,FAYETTE,6.502263775045542
94,ST. CLAIR,6.5675512295081795
95,WAYNE,6.619806466302388
96,MONROE,6.847785177595671
97,JEFFERSON,6.409883879781379
98,LAWRENCE,6.5579394353369915
99,MARION,6.557728255919866
100,UNION,6.546206739526466
101,POPE,6.333034494535553
